Repetición,Velocidad Media,Aceleracion Media,Velocidad de Salida,Energía Cinética,Tiempo (s),Altura (cm)
1,0.0006704571538115392+-3.759345075274685e-10,4.969620330409573e-06+-8.032071311091455e-11,0.16241431476204812+-1.8269838908596184e-08,1.364737042829843e-09+-3.2717988005634495e-08,111,7.421734595873668
2,0.0006616901620256646+-3.759345075274685e-10,6.418522550855011e-07+-8.032071311091455e-11,0.1647492559442084+-1.8269838908596184e-08,1.3781099453363062e-09+-3.2717988005634495e-08,112,7.4794413345800015
3,0.0006598356061246753+-3.759345075274685e-10,-1.7150603037621726e-07+-8.032071311091455e-11,0.16450511624717612+-1.8269838908596184e-08,1.3872280559746389e-09+-3.2717988005634495e-08,113,7.527194046047481
4,0.000640603604865148+-3.759345075274685e-10,2.9437020231621277e-06+-8.032071311091455e-11,0.16437803068107365+-1.8269838908596184e-08,1.3630936577243203e-09+-3.2717988005634495e-08,111,7.430619530701763
5,0.0006365634493227775+-3.759345075274685e-10,6.232553751565228e-07+-8.032071311091455e-11,0.16233813091846233+-1.8269838908596184e-08,1.3931445643562181e-09+-3.2717988005634495e-08,112,7.499719228048746
6,0.0006509903679392245+-3.759345075274685e-10,-3.533719649113115e-07+-8.032071311091455e-11,0.16221602427506035+-1.8269838908596184e-08,1.3700144127189436e-09+-3.2717988005634495e-08,110,7.486090188639772
7,0.0006345446104588431+-3.759345075274685e-10,2.8628775242036387e-07+-8.032071311091455e-11,0.16510468805527778+-1.8269838908596184e-08,1.3925861678659145e-09+-3.2717988005634495e-08,116,7.590587349196649
8,0.0006879974815110304+-3.759345075274685e-10,4.8001824004788446e-06+-8.032071311091455e-11,0.16308884602527832+-1.8269838908596184e-08,1.3792222984702132e-09+-3.2717988005634495e-08,110,7.345272318849674
9,0.0006746334887673554+-3.759345075274685e-10,-3.5200565775796723e-07+-8.032071311091455e-11,0.16354969979714046+-1.8269838908596184e-08,1.35342927833407e-09+-3.2717988005634495e-08,112,7.529999788786151
10,0.0006862745157420638+-3.759345075274685e-10,4.150788888914815e-06+-8.032071311091455e-11,0.16486829505559425+-1.8269838908596184e-08,1.3612385948584435e-09+-3.2717988005634495e-08,110,7.126799249101798
11,0.0006747572082220209+-3.759345075274685e-10,4.150788888914815e-06+-8.032071311091455e-11,0.16281307416271906+-1.8269838908596184e-08,1.3584579823109534e-09+-3.2717988005634495e-08,109,7.280350416951677
12,0.0006400600882630819+-3.759345075274685e-10,4.150788888914815e-06+-8.032071311091455e-11,0.16347883426972834+-1.8269838908596184e-08,1.389503815939648e-09+-3.2717988005634495e-08,112,7.333595420555574
13,0.0006582066163501295+-3.759345075274685e-10,5.778266347546364e-06+-8.032071311091455e-11,0.16275146915761954+-1.8269838908596184e-08,1.387009012442016e-09+-3.2717988005634495e-08,111,7.229852889833972
14,0.0006679006709051751+-3.759345075274685e-10,3.277009905056461e-06+-8.032071311091455e-11,0.1630220261757308+-1.8269838908596184e-08,1.3636376266079935e-09+-3.2717988005634495e-08,108,7.194664030562134
15,0.0006663470637248471+-3.759345075274685e-10,-5.793288735383276e-07+-8.032071311091455e-11,0.16414776498550399+-1.8269838908596184e-08,1.3732230055425438e-09+-3.2717988005634495e-08,109,7.2171998756024
16,0.0006753512592881457+-3.759345075274685e-10,5.11879359300874e-06+-8.032071311091455e-11,0.16484904069831974+-1.8269838908596184e-08,1.3657320352210808e-09+-3.2717988005634495e-08,111,7.270384925628694
17,0.0006727715886331328+-3.759345075274685e-10,3.9459817080711306e-06+-8.032071311091455e-11,0.16421685053691717+-1.8269838908596184e-08,1.3604633205929588e-09+-3.2717988005634495e-08,112,7.117604093284065
18,0.0006904776106559579+-3.759345075274685e-10,9.232814573468293e-07+-8.032071311091455e-11,0.1624406616957506+-1.8269838908596184e-08,1.3472152404620957e-09+-3.2717988005634495e-08,110,7.171352876784007
19,0.0006662239559637174+-3.759345075274685e-10,2.8781328727664397e-06+-8.032071311091455e-11,0.16270871657005379+-1.8269838908596184e-08,1.3819313984221185e-09+-3.2717988005634495e-08,113,7.207906548633984
20,0.0006439628001931784+-3.759345075274685e-10,2.8781328727664397e-06+-8.032071311091455e-11,0.16221895091645677+-1.8269838908596184e-08,1.358511089831875e-09+-3.2717988005634495e-08,112,7.209345567826322
21,0.0006732732141538603+-3.759345075274685e-10,3.030507739958113e-06+-8.032071311091455e-11,0.16461220176512006+-1.8269838908596184e-08,1.3889093409106192e-09+-3.2717988005634495e-08,112,7.2085192928399
22,0.0006496278352021368+-3.759345075274685e-10,3.5046960553406613e-06+-8.032071311091455e-11,0.1637760119915778+-1.8269838908596184e-08,1.3859125428006927e-09+-3.2717988005634495e-08,111,7.389239828106539
23,0.000663385560106259+-3.759345075274685e-10,5.0365315164547165e-06+-8.032071311091455e-11,0.16330478825568417+-1.8269838908596184e-08,1.3549273123938212e-09+-3.2717988005634495e-08,109,7.121693661432649
24,0.0006597194212148008+-3.759345075274685e-10,5.0365315164547165e-06+-8.032071311091455e-11,0.164103256198236+-1.8269838908596184e-08,1.3510849873647754e-09+-3.2717988005634495e-08,112,7.41765771120153
25,0.0006503201386174859+-3.759345075274685e-10,5.0365315164547165e-06+-8.032071311091455e-11,0.16335208956460975+-1.8269838908596184e-08,1.3792627961947042e-09+-3.2717988005634495e-08,110,7.136075280195112
26,0.0006581855871326773+-3.759345075274685e-10,5.0365315164547165e-06+-8.032071311091455e-11,0.16458517663112865+-1.8269838908596184e-08,1.3548732818245686e-09+-3.2717988005634495e-08,112,7.220519448827178
27,0.0006804711158051417+-3.759345075274685e-10,3.8848294605199226e-06+-8.032071311091455e-11,0.16218729933686704+-1.8269838908596184e-08,1.3704875461598034e-09+-3.2717988005634495e-08,112,7.454593293283744
28,0.0006667994669985314+-3.759345075274685e-10,3.8848294605199226e-06+-8.032071311091455e-11,0.16306767258008134+-1.8269838908596184e-08,1.3869540679899532e-09+-3.2717988005634495e-08,109,7.410582095885714
29,0.0006602646602299002+-3.759345075274685e-10,5.005665423771624e-06+-8.032071311091455e-11,0.16239869216134178+-1.8269838908596184e-08,1.367638494566354e-09+-3.2717988005634495e-08,110,7.151349781311259
30,0.0006554991915834039+-3.759345075274685e-10,5.005665423771624e-06+-8.032071311091455e-11,0.16434941912215667+-1.8269838908596184e-08,1.3586624152323636e-09+-3.2717988005634495e-08,109,7.230228961926409
